Player,Solo score,Solo top1,Solo kd,Solo winRatio,Solo matches,Solo kills,Solo minutesPlayed,Duos score,Duos top1,Duos kd,Duos winRatio,Duos matches,Duos kills,Duos minutesPlayed,Trios score,Trios top1,Trios kd,Trios winRatio,Trios matches,Trios kills,Trios minutesPlayed,Squads score,Squads top1,Squads kd,Squads winRatio,Squads matches,Squads kills,Squads minutesPlayed,LTM score,LTM top1,LTM top3,LTM kd,LTM winRatio,LTM matches,LTM kills,LTM minutesPlayed,most_played_mode
Batatinha_Chips,305462,21,0.96,1.4,1534,1446,13489,2747522,1018,1.36,8.3,12204,15190,111613,188610.0,58.0,1.01,6.0,971.0,923.0,8047.0,705467.0,167.0,1.12,4.7,3587.0,3815.0,29371.0,181404.0,9.0,20.0,1.91,1.2,748.0,1414.0,6856.0,Duos
hateme4that,858630,224,1.68,5.1,4353,6939,33366,1896364,1236,2.61,17.9,6923,14868,68101,276269.0,125.0,2.39,11.7,1069.0,2252.0,11258.0,907634.0,305.0,1.8,7.1,4266.0,7147.0,35781.0,495920.0,44.0,63.0,7.49,4.0,1093.0,7857.0,11937.0,Duos
War-Ghost,1713735,262,1.81,2.4,10757,19040,62470,575276,264,1.57,9.8,2692,3818,22735,260485.0,66.0,1.45,4.9,1343.0,1858.0,11178.0,1399163.0,331.0,1.56,4.3,7771.0,11625.0,55392.0,885917.0,21.0,40.0,4.33,2.2,959.0,4063.0,9870.0,Solo
Roadkiller.,821696,120,1.77,2.5,4855,8363,33269,1007926,358,2.19,7.2,4938,10032,37043,494953.0,130.0,2.09,5.7,2270.0,4469.0,21856.0,1583708.0,438.0,2.17,5.4,8067.0,16584.0,60488.0,155550.0,79.0,98.0,3.38,11.9,662.0,1971.0,5015.0,Squads
EssMGeeSprAY_TTV,1496525,68,0.87,0.6,12055,10449,67251,538728,193,1.34,6.3,3064,3853,22308,517843.0,46.0,1.05,1.4,3304.0,3412.0,25155.0,1386614.0,165.0,1.02,1.6,10262.0,10301.0,61615.0,355705.0,54.0,10.0,5.34,8.5,633.0,3092.0,5879.0,Solo
Visu Akusto,1738916,318,2.62,3.2,10032,25445,62386,454247,262,4.08,9.6,2720,10029,14417,648212.0,299.0,3.65,11.8,2543.0,8201.0,26016.0,1097017.0,454.0,3.19,7.7,5881.0,17312.0,41690.0,58268.0,29.0,37.0,3.74,4.0,732.0,2626.0,1661.0,Solo
kokosinela,2606829,252,0.95,1.7,14963,13946,111625,434435,58,1.07,2.0,2832,2955,19831,32478.0,2.0,0.89,0.8,255.0,226.0,1553.0,863491.0,87.0,1.36,1.6,5455.0,7327.0,36644.0,990301.0,53.0,89.0,0.84,1.4,3693.0,3043.0,26784.0,Solo
ɱąɖŋɛҳųʂ,287942,37,1.19,2.9,1292,1489,12239,2391388,1371,2.2,16.5,8302,15263,95869,399268.0,207.0,2.73,15.9,1305.0,2998.0,16217.0,861066.0,212.0,1.54,5.8,3651.0,5302.0,36291.0,235302.0,52.0,85.0,3.25,7.4,705.0,2121.0,7639.0,Duos
Roger_Rabbitツ,133159,4,0.3,0.5,865,262,6608,3655026,777,0.8,4.1,18755,14314,169103,13446.0,0.0,0.24,0.0,96.0,23.0,713.0,135220.0,6.0,0.26,0.6,1086.0,276.0,7023.0,218713.0,22.0,48.0,0.62,2.7,807.0,484.0,6430.0,Duos
Twitch kargeaux,456959,84,2.0,2.8,2987,5813,16510,1927842,1027,2.47,8.5,12016,27172,70962,216734.0,46.0,1.97,4.5,1025.0,1933.0,9750.0,1334775.0,365.0,2.1,4.4,8264.0,16603.0,50305.0,82797.0,14.0,18.0,5.26,3.3,419.0,2132.0,2699.0,Duos
Kelu04,649549,264,2.43,6.6,3990,9063,22054,2061314,1534,2.61,10.7,14298,33302,72978,274228.0,212.0,5.77,26.2,808.0,3441.0,8860.0,948124.0,411.0,2.24,6.0,6877.0,14465.0,34706.0,79072.0,49.0,38.0,2.71,8.8,555.0,1373.0,2623.0,Duos
zaviria,1835637,98,0.91,0.8,12362,11129,86633,1446332,232,0.71,1.9,12403,8582,69405,440913.0,101.0,2.46,5.6,1805.0,4185.0,19486.0,203462.0,12.0,0.94,0.9,1409.0,1310.0,9534.0,145075.0,33.0,64.0,1.08,2.9,1145.0,1201.0,5586.0,Duos
just bubble〆,824082,157,1.6,2.2,7252,11349,35788,809661,473,2.2,6.2,7628,15767,30283,930104.0,234.0,2.09,5.4,4329.0,8573.0,41191.0,1365896.0,350.0,1.74,2.8,12644.0,21390.0,57443.0,48761.0,30.0,40.0,2.4,4.6,649.0,1488.0,1619.0,Squads
DELETE Kloff,760102,436,2.12,11.9,3666,6857,28541,1190691,854,2.49,12.1,7061,15466,43121,271156.0,147.0,3.39,15.3,963.0,2770.0,10351.0,1708144.0,887.0,2.26,9.2,9673.0,19835.0,63491.0,83948.0,39.0,56.0,2.49,4.1,943.0,2254.0,2687.0,Squads
mrJonnyM,523719,163,1.66,7.1,2306,3561,20361,2643323,1689,3.05,18.2,9259,23058,95693,104857.0,36.0,1.58,7.5,479.0,702.0,4796.0,657492.0,244.0,1.92,8.7,2817.0,4948.0,25487.0,743386.0,27.0,47.0,9.59,1.6,1710.0,16147.0,23587.0,Duos
Lxckyer,1479151,285,1.71,3.1,9336,15448,57801,471769,258,1.76,8.9,2888,4628,16299,842470.0,273.0,1.71,7.2,3783.0,5991.0,35246.0,1124633.0,336.0,1.47,4.7,7096.0,9944.0,45500.0,499679.0,147.0,102.0,4.7,7.9,1862.0,8063.0,11120.0,Solo
DaddyWrzeszczyk,1148354,611,2.37,6.1,9956,22171,46485,811700,843,3.38,16.6,5064,14275,25787,877897.0,402.0,2.91,12.4,3242.0,8271.0,35068.0,1089348.0,700.0,2.43,8.8,7913.0,17515.0,42752.0,80353.0,113.0,80.0,3.12,9.6,1172.0,3303.0,2432.0,Solo
SPCambo9,2385619,910,2.02,10.4,8750,15858,100840,399724,245,1.62,9.9,2484,3622,15098,64318.0,28.0,2.22,9.9,284.0,568.0,2719.0,1076278.0,410.0,1.88,7.9,5199.0,8985.0,42021.0,324150.0,48.0,66.0,3.23,4.1,1158.0,3590.0,9404.0,Solo
Braxtonjames2020,1294907,704,4.32,15.1,4675,17153,41338,557559,343,5.3,17.0,2019,8885,19568,33653.0,16.0,4.04,11.3,141.0,505.0,1286.0,2040252.0,1433.0,5.73,21.5,6660.0,29970.0,65265.0,356745.0,9.0,7.0,4.1,1.3,707.0,2863.0,9951.0,Squads
Deyf5 en twitch,1214774,392,1.62,4.2,9322,14479,47765,514237,281,2.07,8.0,3518,6696,19374,686135.0,277.0,1.72,10.3,2698.0,4162.0,31462.0,1519647.0,742.0,2.43,10.7,6905.0,14949.0,57404.0,187051.0,65.0,72.0,2.05,4.2,1552.0,3049.0,6676.0,Solo
leafkemon TTV,975226,633,2.74,6.9,9202,23508,35146,1095669,1266,3.73,16.2,7817,24429,38994,122268.0,64.0,4.26,15.2,420.0,1517.0,4701.0,1726819.0,1235.0,3.19,11.8,10430.0,29350.0,62944.0,235450.0,172.0,117.0,5.64,15.0,1143.0,5474.0,6474.0,Squads
ttvSomeSaucy,199022,30,1.19,2.0,1524,1773,8015,3144667,1663,2.2,10.4,15933,31327,117724,114097.0,56.0,4.75,13.9,403.0,1648.0,4161.0,459732.0,115.0,1.27,3.8,3027.0,3693.0,18609.0,235055.0,59.0,44.0,4.07,8.5,692.0,2575.0,5201.0,Duos
ᴰᵀ RISE oF AMIR,2346919,207,1.15,1.4,14429,16338,104420,671424,134,1.15,2.9,4662,5221,28977,234757.0,41.0,1.33,3.4,1200.0,1539.0,11118.0,665333.0,70.0,1.05,1.5,4622.0,4797.0,29216.0,81928.0,12.0,25.0,3.92,3.0,399.0,1518.0,2667.0,Solo
Mma A7Aψ,1746880,681,2.72,10.1,6736,16491,62126,846103,509,3.89,15.6,3270,10740,30296,167209.0,63.0,2.39,9.4,668.0,1445.0,7509.0,1157442.0,466.0,2.93,10.0,4675.0,12344.0,44203.0,34930.0,0.0,0.0,6.67,0.0,130.0,867.0,1369.0,Solo
shakatop,997297,180,1.06,4.4,4126,4201,42596,2115794,762,1.47,8.5,8984,12088,89733,195917.0,60.0,1.37,8.8,685.0,854.0,9506.0,603530.0,115.0,1.08,4.5,2576.0,2655.0,27567.0,401734.0,21.0,43.0,3.58,1.6,1277.0,4498.0,14477.0,Duos
DXR_R1pPeR ツ,413059,84,1.01,1.6,5117,5104,16896,1756387,1046,1.97,10.0,10412,18464,64571,438435.0,173.0,2.62,9.0,1925.0,4597.0,17845.0,1302526.0,406.0,1.42,4.2,9772.0,13340.0,52068.0,579875.0,173.0,222.0,2.8,5.9,2942.0,7741.0,17695.0,Duos
OMGさん,52735,20,1.74,4.6,432,715,1860,2558463,2590,3.18,21.0,12343,30993,87216,354267.0,389.0,9.95,53.1,733.0,3424.0,10855.0,948604.0,669.0,2.5,13.6,4922.0,10615.0,34676.0,1512395.0,436.0,513.0,6.92,10.5,4166.0,25824.0,48277.0,Duos
GoodGuyBambi,39987,42,1.53,4.3,966,1414,1550,2760556,2161,2.57,12.0,18022,40790,104005,125955.0,47.0,2.85,10.0,472.0,1212.0,4804.0,985926.0,572.0,2.09,7.2,7898.0,15316.0,37730.0,208651.0,131.0,120.0,3.0,9.2,1425.0,3878.0,5819.0,Duos
JK BRaVE YT,330809,51,1.31,2.5,2008,2559,14318,2201098,1765,2.53,13.2,13341,29291,73796,403721.0,118.0,1.37,6.4,1841.0,2358.0,18696.0,976361.0,317.0,1.76,6.3,4996.0,8213.0,40238.0,62020.0,39.0,51.0,3.53,11.9,329.0,1025.0,1932.0,Duos
EryKDragoN,649758,303,1.85,4.0,7539,13401,25215,2290421,1314,2.26,8.4,15628,32366,88833,52192.0,15.0,3.23,7.8,192.0,572.0,2052.0,919145.0,437.0,2.45,7.4,5876.0,13351.0,35823.0,20757.0,26.0,28.0,3.77,9.5,273.0,930.0,565.0,Duos
adv dawinǃ,2345755,341,1.35,1.6,21802,28896,91853,103256,49,1.2,3.9,1243,1428,3872,272072.0,107.0,2.66,9.2,1164.0,2811.0,10837.0,1184803.0,358.0,1.73,4.0,8943.0,14841.0,44724.0,109544.0,12.0,9.0,1.45,0.9,1318.0,1895.0,3940.0,Solo
Dheylo Granjero,2060412,1553,3.91,14.1,11009,36977,70212,763180,1022,5.61,28.6,3574,14310,22557,97356.0,37.0,3.08,12.3,302.0,815.0,4053.0,987292.0,1073.0,4.3,21.3,5034.0,17026.0,33932.0,129889.0,119.0,61.0,6.39,15.3,780.0,4222.0,3597.0,Solo
N3W_ST4R_M3,859542,159,1.22,1.3,12576,15208,35373,1489915,761,2.15,7.4,10240,20415,56445,290706.0,63.0,1.83,4.5,1393.0,2429.0,13384.0,1261031.0,327.0,1.68,3.5,9276.0,15068.0,50559.0,290796.0,65.0,103.0,1.48,1.7,3877.0,5640.0,10580.0,Solo
evox x Liswe,1637092,104,0.69,0.7,14154,9640,75912,726434,198,1.02,2.6,7687,7629,29548,445459.0,77.0,0.86,2.8,2703.0,2271.0,22198.0,1091693.0,167.0,0.84,1.7,9720.0,8058.0,48815.0,398781.0,59.0,135.0,1.0,1.6,3739.0,3694.0,15408.0,Solo
nɹǝԀ ɹǝpʍƎ,2731523,252,0.89,1.8,14269,12459,130027,431264,85,0.84,3.1,2757,2235,19681,88890.0,15.0,0.6,2.9,514.0,300.0,4563.0,650179.0,112.0,0.92,2.9,3907.0,3487.0,29070.0,773416.0,151.0,118.0,2.21,8.0,1883.0,3833.0,15085.0,Solo
BigPapiStriker,978377,483,1.99,10.4,4664,8336,37351,1971610,1456,2.74,13.0,11175,26676,70225,62677.0,14.0,1.26,5.5,255.0,304.0,3051.0,887483.0,455.0,2.04,9.2,4947.0,9145.0,34067.0,39951.0,6.0,4.0,3.08,4.6,130.0,382.0,754.0,Duos
SAVAGE 义,673901,64,1.1,1.2,5428,5874,26719,2028080,686,1.21,4.7,14598,16884,81170,224512.0,94.0,2.01,10.4,902.0,1623.0,8796.0,972475.0,124.0,1.09,1.6,7552.0,8118.0,40182.0,188847.0,29.0,8.0,4.64,4.8,608.0,2689.0,4436.0,Duos
DramaCorn,975279,577,2.2,8.6,6748,13601,33713,1482901,1324,4.58,26.0,5101,17285,48180,80070.0,54.0,5.03,22.8,237.0,921.0,2737.0,1353936.0,763.0,2.41,9.8,7791.0,16924.0,48472.0,118423.0,74.0,76.0,2.13,6.5,1142.0,2275.0,3797.0,Squads
WilsonTheThird,2048436,542,1.41,4.6,11850,15987,84342,616540,300,1.58,8.2,3672,5322,24676,24878.0,14.0,2.14,13.9,101.0,186.0,966.0,1203223.0,457.0,1.55,7.2,6345.0,9128.0,48377.0,64723.0,14.0,20.0,4.61,4.7,301.0,1322.0,2408.0,Solo
ғᴀᴢᴇ ARAKA29_ツ,303044,51,1.29,3.1,1661,2082,12518,2598161,1061,1.93,8.6,12341,21772,104693,271618.0,110.0,2.64,10.6,1038.0,2453.0,10853.0,714959.0,131.0,1.48,3.3,3960.0,5661.0,30345.0,444575.0,56.0,108.0,3.69,3.8,1491.0,5300.0,14548.0,Duos
primal kcazzy,287561,28,1.31,1.3,2233,2886,11869,1948003,1043,1.9,10.0,10477,17879,71350,193170.0,68.0,2.01,7.6,891.0,1652.0,7752.0,1457659.0,366.0,1.67,4.2,8671.0,13896.0,57638.0,311488.0,84.0,118.0,2.63,5.8,1439.0,3567.0,8336.0,Duos
TTV cdogz12345,519871,152,0.91,2.2,6839,6107,21748,2485104,565,1.12,3.5,16043,17315,107240,17650.0,1.0,1.16,0.9,117.0,134.0,694.0,861444.0,156.0,1.1,2.3,6675.0,7159.0,36246.0,762381.0,163.0,252.0,2.23,3.0,5421.0,11714.0,29933.0,Duos
Lvstphoenix,342443,9,0.61,0.3,2873,1735,15843,3089041,543,0.77,2.7,19994,14907,141106,95194.0,19.0,0.86,3.7,518.0,428.0,4134.0,358249.0,28.0,0.59,1.0,2693.0,1581.0,16430.0,1208364.0,192.0,49.0,1.03,3.9,4914.0,4845.0,30821.0,Duos
da_Kìlo,1191346,315,1.56,3.5,8953,13509,46068,1682884,1195,2.58,18.9,6312,13200,61703,206173.0,156.0,4.69,28.7,543.0,1815.0,6924.0,801862.0,265.0,1.53,5.1,5204.0,7564.0,32635.0,32227.0,10.0,23.0,3.15,5.4,186.0,555.0,1099.0,Solo
RK Hysteria,634098,105,1.22,1.8,5747,6880,24935,1501721,484,1.18,3.8,12826,14560,63356,211777.0,75.0,2.54,7.9,954.0,2233.0,8415.0,1536891.0,377.0,1.54,3.8,9837.0,14535.0,61740.0,189341.0,58.0,56.0,3.87,5.3,1103.0,4044.0,6212.0,Duos
СROUSE,898923,214,1.64,4.7,4532,7078,40160,1818982,1147,1.98,10.9,10552,18623,68450,307705.0,114.0,1.31,8.7,1305.0,1557.0,14271.0,851048.0,352.0,1.55,6.8,5143.0,7420.0,35327.0,218847.0,35.0,44.0,5.01,4.7,751.0,3587.0,4765.0,Duos
Stefan -,716471,55,0.89,1.3,4259,3758,32131,1614506,326,0.95,3.1,10367,9525,73352,232524.0,60.0,1.45,5.1,1181.0,1622.0,10620.0,1303212.0,207.0,1.27,2.7,7653.0,9455.0,56583.0,1021930.0,35.0,56.0,1.71,1.1,3075.0,5186.0,29010.0,Duos
استغفرالله ّ ّ,481074,22,0.75,0.3,8171,6129,20907,3250006,454,1.23,1.4,31563,38173,132924,3861.0,0.0,0.97,0.0,32.0,31.0,172.0,144608.0,18.0,0.98,1.1,1662.0,1615.0,5810.0,356800.0,22.0,21.0,0.96,1.3,1647.0,1566.0,6533.0,Duos
nugメ,971611,155,0.64,2.7,5678,3525,44370,2838634,526,0.94,2.7,19438,17815,125338,11870.0,0.0,1.13,0.0,83.0,94.0,547.0,53856.0,3.0,0.68,0.6,490.0,333.0,2371.0,491008.0,26.0,14.0,1.07,2.6,992.0,1034.0,8404.0,Duos
UZB050,164537,17,0.72,1.2,1390,989,7574,3391857,853,1.03,4.3,20022,19817,146596,125385.0,33.0,1.18,5.4,612.0,683.0,5448.0,186409.0,32.0,0.79,2.7,1203.0,921.0,8203.0,1370419.0,95.0,61.0,4.4,3.2,2989.0,12741.0,29769.0,Duos
Liquid Harmii,1765726,1079,3.53,8.2,13217,42845,66442,300717,303,4.65,10.4,2911,12126,10481,593239.0,269.0,3.12,13.0,2062.0,5587.0,24875.0,1214501.0,1110.0,4.4,17.2,6442.0,23453.0,44558.0,110514.0,111.0,65.0,4.95,10.0,1110.0,4949.0,3028.0,Solo
Trévon,1450020,533,2.19,8.9,6003,11958,53159,592452,408,2.75,18.3,2228,5006,21852,146518.0,115.0,4.25,27.9,412.0,1263.0,5161.0,1679780.0,810.0,2.24,12.2,6636.0,13039.0,63276.0,149761.0,31.0,39.0,3.03,5.0,615.0,1769.0,5252.0,Squads
cerin7,1145368,528,2.59,4.7,11223,27689,39628,1670280,1275,4.55,11.6,10980,44141,57088,215468.0,116.0,5.28,13.3,869.0,3976.0,7699.0,834184.0,481.0,3.46,7.1,6746.0,21669.0,28594.0,52001.0,44.0,50.0,3.43,6.1,718.0,2315.0,1702.0,Solo
CL4NPlayer TTV,278258,48,1.24,3.7,1290,1542,11934,3001336,1415,2.03,11.9,11908,21345,119060,72982.0,35.0,2.16,11.9,295.0,562.0,2950.0,511937.0,121.0,1.3,4.7,2574.0,3183.0,21378.0,738858.0,191.0,237.0,3.28,7.8,2439.0,7373.0,23395.0,Duos
Fen1x Recargado,1218493,78,0.57,1.1,7311,4153,56968,1736267,869,0.58,8.2,10553,5664,74678,228738.0,78.0,0.63,8.8,883.0,506.0,11267.0,683076.0,149.0,0.62,3.9,3824.0,2269.0,31096.0,130665.0,15.0,26.0,1.74,2.5,591.0,1001.0,5170.0,Duos
duokiller82,1798875,157,0.94,1.6,9937,9205,80297,683583,156,0.7,3.7,4218,2844,31653,308126.0,50.0,0.96,2.8,1800.0,1674.0,14707.0,1078997.0,118.0,0.79,1.7,6845.0,5325.0,48865.0,292330.0,15.0,17.0,1.88,1.8,823.0,1515.0,6857.0,Solo
DeskPopDave TTV,1220980,124,0.89,1.6,7521,6558,53346,1059821,435,1.5,8.0,5426,7467,42852,195709.0,69.0,1.96,9.3,742.0,1322.0,8446.0,1386586.0,365.0,1.22,5.0,7299.0,8432.0,59578.0,72693.0,2.0,7.0,3.18,0.8,239.0,754.0,2100.0,Solo
GW_Nephrite,2598256,2305,4.96,21.7,10600,41168,92513,204047,200,4.4,18.6,1073,3841,7224,439385.0,232.0,2.44,16.9,1372.0,2782.0,20750.0,620962.0,595.0,4.4,24.3,2446.0,8147.0,25877.0,42690.0,48.0,13.0,6.1,15.0,320.0,1658.0,1272.0,Solo
juansit0_BEAT,441743,103,1.36,1.3,7954,10652,17408,2498087,1851,1.32,8.3,22228,26926,91743,320016.0,126.0,2.28,9.6,1306.0,2688.0,12283.0,606210.0,210.0,1.2,3.0,6987.0,8107.0,24935.0,324313.0,90.0,119.0,2.73,6.8,1332.0,3391.0,9618.0,Duos
KyoFN TV,655956,271,2.05,3.9,6861,13517,23416,2715832,2110,3.98,21.2,9950,31230,93675,,,,,,,,490572.0,217.0,2.74,9.4,2307.0,5724.0,18147.0,73601.0,20.0,38.0,3.71,6.3,315.0,1093.0,2348.0,Duos
VKS rezende,1117936,267,2.81,4.9,5480,14651,41069,493461,152,3.08,5.6,2700,7837,17666,1066687.0,460.0,3.48,11.0,4170.0,12914.0,40762.0,1185401.0,369.0,2.96,6.8,5449.0,15032.0,44796.0,89325.0,29.0,29.0,4.62,7.3,399.0,1711.0,2899.0,Solo
Dougall Ya DiGG,60930,21,2.32,4.9,426,938,2121,2534170,1258,2.22,8.7,14533,29417,96706,7998.0,2.0,2.7,5.7,35.0,89.0,304.0,1257466.0,470.0,2.27,6.9,6813.0,14393.0,46679.0,138885.0,61.0,58.0,3.32,9.8,620.0,1858.0,3625.0,Duos
zbrore,2053725,182,1.2,1.2,14748,17548,87314,410365,192,1.53,6.5,2972,4256,14730,310295.0,78.0,2.35,4.3,1831.0,4111.0,12275.0,1085589.0,132.0,1.34,1.7,7548.0,9903.0,47445.0,184162.0,32.0,41.0,2.43,3.1,1044.0,2464.0,6127.0,Solo
娜勒杰迪诶迪勒,519443,62,0.94,1.2,5068,4690,22984,2847553,955,1.03,5.2,18262,17764,121862,94794.0,46.0,1.33,12.0,382.0,446.0,3882.0,394595.0,80.0,0.82,2.8,2813.0,2231.0,16965.0,594242.0,72.0,40.0,4.74,4.1,1747.0,7939.0,13454.0,Duos
4 Not Hellfire,847923,257,2.55,4.0,6378,15593,32285,255412,321,3.95,9.1,3521,12635,9172,911446.0,368.0,3.48,10.0,3663.0,11475.0,35403.0,1841248.0,942.0,3.41,7.8,12136.0,38225.0,66591.0,23917.0,101.0,79.0,5.07,16.9,596.0,2508.0,720.0,Squads
Hazardous Logic,429303,25,1.34,1.2,2166,2878,19433,2634927,1075,1.83,9.1,11839,19724,105918,259891.0,103.0,1.71,10.6,972.0,1489.0,10965.0,507829.0,110.0,1.42,4.1,2691.0,3658.0,21501.0,414848.0,34.0,57.0,3.83,2.6,1300.0,4853.0,11994.0,Duos
illuminanceTTV,593994,187,2.97,8.1,2296,6266,21960,1430563,999,3.95,19.3,5171,16475,47323,270119.0,76.0,1.95,6.6,1155.0,2099.0,12256.0,1557534.0,707.0,3.0,11.7,6033.0,15989.0,57253.0,185219.0,61.0,76.0,4.1,7.7,793.0,2999.0,5721.0,Squads
GEIL MaXiGuM,44567,4,1.14,0.9,425,481,1798,2837560,1565,2.67,12.9,12095,28159,104186,348101.0,171.0,3.21,13.2,1291.0,3594.0,13175.0,624003.0,157.0,1.89,5.0,3126.0,5606.0,24329.0,146748.0,40.0,65.0,5.81,7.2,558.0,3008.0,4600.0,Duos
GeneralMarkan,1330102,66,0.4,0.7,9404,3774,63125,1470271,614,1.04,9.1,6763,6424,58639,154646.0,30.0,0.86,3.9,762.0,627.0,6818.0,895180.0,103.0,1.08,2.4,4273.0,4508.0,38758.0,102012.0,13.0,38.0,0.23,1.3,1007.0,230.0,4050.0,Solo
Bunny ӝ,1127320,453,4.03,11.8,3847,13684,38512,1493904,1017,6.2,17.7,5742,29279,49544,404527.0,193.0,4.82,13.7,1406.0,5843.0,15208.0,827820.0,463.0,4.86,14.8,3128.0,12939.0,29067.0,115895.0,16.0,19.0,8.13,5.9,269.0,2058.0,2186.0,Duos
C.p_98,570415,77,1.01,1.5,5243,5211,24936,1206193,519,1.4,5.6,9280,12229,49344,362641.0,89.0,1.39,5.1,1738.0,2296.0,17441.0,1710730.0,423.0,1.25,3.5,12212.0,14790.0,73015.0,127548.0,77.0,98.0,1.58,4.7,1622.0,2446.0,4107.0,Squads
KingFlippurPlays,488745,59,1.09,1.9,3116,3323,20486,2066547,1001,1.32,9.0,11127,13334,81392,457495.0,176.0,1.66,9.4,1868.0,2801.0,19061.0,835089.0,180.0,1.09,3.8,4791.0,5035.0,35546.0,837716.0,97.0,132.0,5.1,4.1,2371.0,11591.0,24851.0,Duos
Softе,1492867,1882,5.08,18.3,10262,42582,50254,720944,1536,5.69,20.4,7540,34147,23905,407972.0,135.0,2.26,8.3,1631.0,3385.0,18008.0,1221556.0,1160.0,4.69,16.6,7005.0,27403.0,46050.0,45498.0,139.0,61.0,6.77,21.3,654.0,3487.0,1477.0,Solo
病む病む_,1180241,757,4.5,20.5,3698,13247,38963,953314,1032,2.35,16.9,6094,11917,33431,71921.0,64.0,5.96,35.6,180.0,691.0,2547.0,1639637.0,1328.0,3.92,23.0,5784.0,17459.0,55386.0,358782.0,362.0,300.0,3.63,23.8,1518.0,4199.0,11771.0,Duos
not sad bent,551153,378,3.02,8.9,4257,11707,21962,2454260,2364,5.07,27.3,8675,31981,86324,145437.0,61.0,3.01,11.2,546.0,1462.0,5853.0,692564.0,610.0,4.24,13.3,4580.0,16816.0,25891.0,355019.0,361.0,507.0,5.02,27.8,1297.0,4703.0,11974.0,Duos
Dom only,1679934,155,1.16,1.4,11377,12983,68088,1153885,299,1.02,2.7,11271,11170,47969,293873.0,52.0,2.72,3.8,1370.0,3584.0,12189.0,715655.0,72.0,1.16,1.5,4727.0,5378.0,30055.0,421002.0,57.0,56.0,5.69,3.4,1673.0,9199.0,13909.0,Solo
VegboyWonder,3655496,519,0.73,4.9,10531,7335,169273,53399,17,0.71,8.3,205,134,2360,4094.0,1.0,0.67,6.2,16.0,10.0,191.0,131091.0,22.0,0.95,4.7,472.0,426.0,5849.0,41822.0,1.0,5.0,0.85,0.9,117.0,99.0,1364.0,Solo
P Patrol67,1933301,100,1.49,1.0,9701,14263,77392,685409,208,1.41,6.1,3436,4552,28272,110665.0,27.0,1.78,5.0,537.0,906.0,4570.0,1114118.0,85.0,1.31,1.4,6091.0,7875.0,47743.0,613174.0,1.0,6.0,2.32,0.1,1952.0,4536.0,23619.0,Solo
PewLookAlike,101486,7,0.44,0.5,1331,587,5166,3681361,250,0.2,0.6,39761,7758,184760,19.0,0.0,0.0,0.0,1.0,0.0,2.0,54432.0,6.0,0.17,1.0,613.0,102.0,2614.0,221783.0,10.0,11.0,1.29,1.3,782.0,999.0,8747.0,Duos
Fivaxe,1753631,173,1.33,1.4,12242,15999,73168,875778,195,1.46,3.2,6030,8541,35394,475193.0,64.0,1.47,2.3,2793.0,4006.0,22322.0,714521.0,86.0,1.48,1.7,5119.0,7457.0,29319.0,475319.0,46.0,67.0,1.98,1.6,2788.0,5434.0,16243.0,Solo
Panzerッ,1319654,573,2.88,12.9,4454,11196,48883,1997065,1532,5.03,27.5,5578,20352,70485,237087.0,202.0,7.65,35.3,572.0,2829.0,7857.0,279178.0,165.0,3.73,19.7,839.0,2511.0,10340.0,103874.0,45.0,46.0,7.36,16.5,273.0,1678.0,3575.0,Duos
Frank372,2053098,30,0.94,0.1,23640,22265,79893,1113121,285,1.17,3.7,7608,8557,47469,92895.0,33.0,2.62,8.2,403.0,969.0,3486.0,577124.0,105.0,2.05,3.3,3176.0,6282.0,21795.0,52516.0,0.0,0.0,3.14,0.0,183.0,574.0,2003.0,Solo
whoSavvy TTV,271199,31,1.1,1.0,3153,3438,11156,1965135,864,2.41,8.5,10211,22535,73490,324348.0,84.0,1.75,5.2,1605.0,2661.0,14766.0,1273355.0,301.0,1.52,3.6,8443.0,12380.0,51262.0,355883.0,82.0,93.0,3.11,5.6,1460.0,4289.0,8143.0,Duos
Mencho1x,1639308,191,1.87,1.7,11484,21163,61331,628671,179,2.38,4.5,4008,9111,24378,697987.0,185.0,2.34,5.5,3376.0,7464.0,29654.0,865717.0,201.0,2.18,3.8,5267.0,11035.0,33735.0,60464.0,20.0,27.0,3.2,6.4,312.0,933.0,1951.0,Solo
verdu.,2217284,349,1.41,2.2,15577,21421,91800,1003074,425,1.58,5.7,7436,11104,42339,,,,,,,,611425.0,162.0,1.49,3.5,4579.0,6601.0,25776.0,86719.0,44.0,50.0,2.53,4.5,975.0,2353.0,3200.0,Solo
frayLingers,691452,357,3.53,14.6,2438,7339,24206,2306282,1744,4.5,23.2,7514,25967,78329,331625.0,175.0,2.31,15.1,1161.0,2275.0,13996.0,502719.0,280.0,2.36,11.0,2544.0,5340.0,19937.0,140981.0,94.0,97.0,5.83,16.3,575.0,2806.0,5001.0,Duos
npen,2335210,1167,4.41,10.8,10759,42312,78520,217359,315,5.24,19.2,1644,6960,7801,553587.0,276.0,3.41,14.8,1869.0,5437.0,23114.0,725502.0,697.0,4.35,17.3,4030.0,14499.0,29152.0,45795.0,44.0,38.0,5.08,14.7,300.0,1301.0,1078.0,Solo
